Summary,Severity,Type,Status,Notes,Watch-Name,Component Physical Paths,Component,Created,policy,Applicability
"Dpkg::Source::Archive in dpkg, the Debian package management system, before version 1.21.8, 1.20.10, 1.19.8, 1.18.26 is prone to a directory traversal vulnerability. When extracting untrusted source packages in v2 and v3 source package formats that include a debian.tar, the in-place extraction can lead to directory traversal situations on specially crafted orig.tar and debian.tar tarballs.",Critical,security,Active,,Security_watch_1,,deb://debian:bullseye:dpkg:1.20.9,2025-05-30T15:14:39Z,1 | Security_policy_1,Applicable
Hardcoded secrets were found,High,security,Active,,Security_watch_1,,docker://spring-petclinic:latest,2025-05-30T15:14:27Z,1 | Security_policy_1,
